E453,1050,9687
E5757,5152,9999
E4614,2312,5175
E4913,4832,9999
E12,367,995
E3833,9047,8962
E1192,7339,8492
E2825,5492,1900
E5047,9999,9773
E5888,2244,5675
E1753,2460,1991
E2647,4843,8506
E1579,3043,3556
E5371,4092,6387
E3050,4945,1713
E5328,1432,189
E3841,8289,6338
E5196,4135,3870
E4833,5084,9638
E39,3777,2612
E2792,9107,2176
E3722,6327,2829
E4692,3643,9999
E3380,4616,1280
E1681,1412,1836
E2625,9999,7921
E134,4290,9660
E1635,2091,7953
E1679,1052,9097
E1278,8040,2723
E5921,9999,1880
E1035,9999,2225
E2229,101,8821
E4940,7052,4709
E5980,6133,5967
E4944,8969,9999
E3662,2975,6479
E1991,2155,4974
E1783,9999,2394
E2487,8285,9994
E147,8434,3738
E1343,6926,3134
E3801,622,9516
E4935,7688,2926
E4756,9664,2762
E5212,7570,9999
E730,7008,3558
E3529,4069,4531
E4241,3869,2227
E3020,9999,1591
E5727,1779,2800
E4602,3921,641
E621,5432,1888
E4698,5063,8529
E5786,1088,5954
E1971,7051,9363
E4842,6688,4844
E2196,9740,1976
E3816,7272,5868
E4523,9999,1322
E5007,8745,8334
E1367,9047,1701
E3849,9999,9999
E2365,2167,8558
E517,9344,3136
E3274,1889,2816
E106,4098,1093
E861,9947,990
E750,8052,8738
E420,8824,3656
E5985,4181,9642
E4410,9999,5436
E4926,2978,6537
E4273,9198,9272
E2670,6418,2896
E1567,6609,207
E5534,9999,8733
E2873,9999,4105
E1880,1073,8255
E643,9029,7378
E518,505,5498
E3423,9999,1445
E4891,8689,8234
E2982,2041,3106
E4125,132,1326
E3158,216,25
E4405,5912,5661
E2766,2502,9999
E241,6526,641
E432,2778,97
E805,4201,745
E2586,341,860
E231,9539,6121
E2666,933,1220
E4651,3341,2909
E259,6526,5190
E4559,6565,2065
E5065,9999,9754
E3468,2566,4215
E5109,3842,4613
E5327,9999,9999
E340,8777,5740
E5034,9999,4731
E5300,3952,1548
E1629,9909,432
E223,8183,8690
E1136,5606,913
E5259,5700,2240
E5873,8565,8879
E2651,9999,2733
E1773,4787,1337
E4690,1986,614
E188,2493,8824
E2756,458,102
E911,6323,2774
E4644,9609,7657
E1602,9999,6909
E3135,9999,2315
E1946,2812,3383
E5372,6318,9862
E5627,3622,2232
E3321,7063,7242
E4659,9999,9999
E5191,3761,4801
E59,3335,8556
E5228,8868,1351
E2749,6456,8511
E2790,5106,102
E4622,1386,5568
E3844,4610,7944
E2191,3544,6510
E2709,9999,9580
E2252,453,3235
E403,9999,9999
E5804,3773,9806
E4261,7091,1774
E2123,9181,2989
E2708,3559,7628
E1891,9999,4216
E1473,7200,7245
E2768,7772,9999
E3376,4950,5955
E5522,7537,4841
E4437,9144,2381
E1770,2927,8875
E2751,6958,7391
E2480,9999,4977
E3708,9999,3523
E184,315,9999
E1308,7988,457
E1974,9999,9999
E3206,6446,2938
E4916,9999,1171
E2268,4714,9999
E3933,9999,7447
E2741,2051,9245
E1514,9999,9999
E1038,606,1182
E827,5726,3163
E5060,9999,9999
E4618,1963,19
E4432,1883,5262
E5255,3649,4259
E5634,6310,9920
E4967,7356,4989
E335,9135,6971
E3507,2038,8722
E5871,5836,2991
E660,2787,9169
E2246,9999,367
E4300,931,2290
E5771,8345,9999
E4040,9999,5064
E1624,9023,8850
E4094,4007,156
E3339,7595,234
E289,7270,5600
E5814,6012,5956
E1745,4844,5769
E4937,8780,9999
E2124,6313,1841
E1618,8628,5390
E4227,7564,2240
E2619,8190,5552
E5248,2539,4033
E2300,6403,1177
E2458,3088,9999
E910,8997,3736
E4943,1407,6542
E756,1144,7244
E562,7400,2598
E3985,5535,4473
E3965,6343,1528
E3840,6376,9999
E292,8959,4641
E3419,9999,9999
E2289,4027,8276
E4147,5922,1672
E931,1098,472
E2129,4450,9379
E5377,5473,9811
E3674,5301,3423
E4242,8638,1603
E1071,1642,7444
E2450,3330,6407
E4456,4853,5083
E1708,3509,8764
E3563,5333,9229
E4076,5086,7421
E2214,7198,8073
E5075,986,2142
E5241,2285,7512
E5902,9397,3499
E3066,9999,9954
E2949,3054,184
E443,1123,2551
E2088,1810,9426
E4426,674,5161
E5698,8887,5452
E3448,9319,6742
E1696,4726,8840
E5998,6865,6655
E521,4945,5918
E430,203,5594
E882,5054,466
E3205,6179,5263
E428,4072,9999
E5797,9451,3920
E1300,9999,2566
E2773,2055,9855
E593,7419,1047
E5053,7676,2758
E901,1712,2318
E5250,5635,8598
E2217,9423,5410
E783,7273,5961
E444,1430,4436
E3950,5907,2172
E1197,4092,9620
E2399,9999,4942
E4061,2907,9992
E1290,447,6491
E1346,9999,9999
E4860,8705,9999
E3600,5768,2194
E1501,9109,763
E5200,2592,7958
E2288,6401,8227
E5720,5078,2856
E4052,51,4381
E1522,9999,264
E4867,5884,2778
E1494,1508,9999
E123,9999,9518
E979,8863,9761
E5013,2397,7558
E1163,4235,8490
E5358,363,911
E4498,266,1676
E1886,9999,9092
E1519,5642,1435
E200,9173,6160
E1794,3014,5609
E269,9999,2109
E1045,424,7212
E16,9209,4551
E5346,9999,4917
E1881,2502,1896
E1098,6497,6185
E5355,9999,9999
E2160,5123,2150
E5623,3361,7270
